"code","message","products__product_id","products__name","products__product_type","products__brand","products__manufacturer","products__unit","products__category_id","products__is_product_custom_fields_enabled","products__is_input_custom_field_available","products__description","products__product_description","products__product_short_description","products__attribute_id1","products__attribute_id2","products__attribute_id3","products__attribute_name1","products__attribute_name2","products__attribute_name3","products__url","products__created_time","products__last_modified_time","products__variant_type","products__is_returnable","products__show_in_storefront","products__show_in_ondc","products__show_in_pos","products__show_in_both","products__is_combo_product","products__document_id","products__document_name","products__alter_text","products__documents__can_send_in_mail","products__documents__is_custom_field_document","products__documents__file_name","products__documents__attachment_order","products__documents__source","products__documents__document_id","products__documents__file_size","products__documents__source_formatted","products__documents__uploaded_by","products__documents__file_type","products__documents__file_size_formatted","products__documents__uploaded_on","products__documents__alter_text","products__documents__uploaded_on_date_formatted","products__status","products__min_rate","products__max_rate","products__is_featured","products__category_name","products__has_variant","products__variant_count","products__overall_stock","products__is_below_reorder_level","products__variants__variant_id","products__variants__name","products__variants__order","products__variants__status","products__variants__rate","products__variants__purchase_rate","products__variants__sku","products__variants__upc","products__variants__ean","products__variants__isbn","products__variants__product_type","products__variants__documents__can_send_in_mail","products__variants__documents__is_custom_field_document","products__variants__documents__file_name","products__variants__documents__attachment_order","products__variants__documents__source","products__variants__documents__document_id","products__variants__documents__file_size","products__variants__documents__source_formatted","products__variants__documents__uploaded_by","products__variants__documents__file_type","products__variants__documents__file_size_formatted","products__variants__documents__uploaded_on","products__variants__documents__alter_text","products__variants__documents__uploaded_on_date_formatted","products__variants__part_number","products__variants__reorder_level","products__variants__minimum_order_quantity","products__variants__maximum_order_quantity","products__variants__initial_stock","products__variants__initial_stock_date","products__variants__attribute_option_id1","products__variants__attribute_option_id2","products__variants__attribute_option_id3","products__variants__attribute_option_name1","products__variants__attribute_option_data1","products__variants__attribute_option_name2","products__variants__attribute_option_data2","products__variants__attribute_option_name3","products__variants__attribute_option_data3","products__variants__attribute_id1","products__variants__attribute_id2","products__variants__attribute_id3","products__variants__attribute_name1","products__variants__attribute_name2","products__variants__attribute_name3","products__variants__attribute_type1","products__variants__attribute_type2","products__variants__attribute_type3","products__variants__stock_on_hand","products__variants__available_stock","products__variants__actual_available_stock","products__variants__available_sale_stock","products__variants__variant_type","products__variants__initial_stock_rate","products__variants__label_rate","products__variants__hsn_or_sac","page_context__page","page_context__per_page","page_context__has_more_page","page_context__report_name","page_context__applied_filter","page_context__sort_column","page_context__sort_order"
"0","success","5382429000000100431",": Bandeja de Cartón para Exhibición de Joyas","goods","","","","","False","False","","<span style=""color:inherit"">Bandeja de cartón con insertos de terciopelo, ideal para exhibir y almacenar joyas de manera elegante.</span>","<span style=""color:inherit"">Bandeja de cartón con insertos de terciopelo, ideal para exhibir y almacenar joyas de manera elegante.</span>&nbsp; &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;","","","","","","","bandeja-de-cartón-para-exhibición-de-joyas","1720580816913","1720580820867","inventory","True","True","False","False","False","False","5382429000000100469","710pm5bXG0L.jpg",": Bandeja de Cartón para Exhibición de Joyas","False","False","710pm5bXG0L.jpg","1","desktop","5382429000000100469","234920","Desktop","","jpg","229.4 KB","",": Bandeja de Cartón para Exhibición de Joyas","","active","3.990000","3.990000","False","","False","1","249.000000","False","5382429000000100433",": Bandeja de Cartón para Exhibición de Joyas","1","active","3.990000","0.000000","BJ9009","901234567890","9012345678901","","goods","False","False","710pm5bXG0L.jpg","1","desktop","5382429000000100469","234920","Desktop","","jpg","229.4 KB","",": Bandeja de Cartón para Exhibición de Joyas","","PQR-BJ-9009","20.000000","","","300.000000","","","","","","","","","","","","","","","","","","","","249.000000","249.000000","249.000000","249.000000","inventory","3.990000","","","1","200","False","Product","Status.All","name","A"
"","","5382429000000100205","Bandeja de Cartón Kraft para Alimentos","goods","","","","","False","False","","<span style=""color:inherit"">Bandeja de cartón Kraft ecológico, apta para el empaque de alimentos como frutas, verduras y productos horneados.</span>","<span style=""color:inherit"">Bandeja de cartón Kraft ecológico, apta para el empaque de alimentos como frutas, verduras y productos horneados.</span>&nbsp; &nbsp;","","","","","","","bandeja-de-cartón-kraft-para-alimentos","1720580150321","1720580151951","inventory","True","True","False","False","False","False","5382429000000100243","D_NQ_NP_904374-MLM44527834047_012021-O.webp","Bandeja de Cartón Kraft para Alimentos","False","False","D_NQ_NP_904374-MLM44527834047_012021-O.webp","1","desktop","5382429000000100243","37390","Desktop","","webp","36.5 KB","","Bandeja de Cartón Kraft para Alimentos","","active","0.990000","0.990000","False","","False","1","500.000000","False","5382429000000100207","Bandeja de Cartón Kraft para Alimentos","1","active","0.990000","0.000000","BK7007","789012345678","7890123456789","","goods","False","False","D_NQ_NP_904374-MLM44527834047_012021-O.webp","1","desktop","5382429000000100243","37390","Desktop","","webp","36.5 KB","","Bandeja de Cartón Kraft para Alimentos","","ABC-BK-7007","200.000000","","","500.000000","","","","","","","","","","","","","","","","","","","","500.000000","500.000000","500.000000","500.000000","inventory","0.990000","","","","","","","","",""
"","","5382429000000100001","Caja de Cartón Corrugado","goods","","","","","False","False","","<span style=""color:inherit"">Caja de cartón corrugado de alta resistencia, ideal para embalaje y transporte seguro de productos</span>","<span style=""color:inherit"">Caja de cartón corrugado de alta resistencia, ideal para embalaje y transporte seguro de productos</span>","","","","","","","caja-de-cartón-corrugado","1720579426104","1720580362764","inventory","True","True","False","False","False","False","5382429000000100357","d335190e6fcf32bed5be09056641fb06.jpg","Caja de Cartón Corrugado","False","False","d335190e6fcf32bed5be09056641fb06.jpg","1","desktop","5382429000000100357","62192","Desktop","","jpg","60.7 KB","","Caja de Cartón Corrugado","","active","5.990000","5.990000","False","","False","1","200.000000","False","5382429000000100003","Caja de Cartón Corrugado","1","active","5.990000","0.000000","CC1001","123456789012","1234567890123","","goods","False","False","d335190e6fcf32bed5be09056641fb06.jpg","1","desktop","5382429000000100357","62192","Desktop","","jpg","60.7 KB","","Caja de Cartón Corrugado","","ABC-CC-1001","25.000000","","","200.000000","","","","","","","","","","","","","","","","","","","","200.000000","200.000000","200.000000","200.000000","inventory","5.990000","","","","","","","","",""
"","","5382429000000100383","Caja de Cartón para Botellas","goods","","","","5382429000000100373","False","False","","<span style=""color:inherit"">Caja de cartón diseñada específicamente para transportar y proteger botellas de vino u otras bebidas.</span>","<span style=""color:inherit"">Caja de cartón diseñada específicamente para transportar y proteger botellas de vino u otras bebidas.</span>","","","","","","","caja-de-cartón-para-botellas","1720580636848","1720580638549","inventory","True","True","False","False","False","False","5382429000000100421","4827069bfe1e0aedabd114fc1ead0542.jpg","Caja de Cartón para Botellas","False","False","4827069bfe1e0aedabd114fc1ead0542.jpg","1","desktop","5382429000000100421","100512","Desktop","","jpg","98.2 KB","","Caja de Cartón para Botellas","","active","6.490000","6.490000","False","Empaque","False","1","24.000000","False","5382429000000100385","Caja de Cartón para Botellas","1","active","6.490000","0.000000","CB8008","890123456789","8901234567890","","goods","False","False","4827069bfe1e0aedabd114fc1ead0542.jpg","1","desktop","5382429000000100421","100512","Desktop","","jpg","98.2 KB","","Caja de Cartón para Botellas","","XYZ-CB-8008","5.000000","","","25.000000","","","","","","","","","","","","","","","","","","","","24.000000","24.000000","24.000000","24.000000","inventory","6.490000","","","","","","","","",""
"","","5382429000000100137","Caja de Cartón Plegable para Almacenamiento","goods","","","","","False","False","","<span style=""color:inherit"">Caja de cartón plegable y fácil de montar, ideal para almacenar ropa, juguetes y otros artículos en el hogar.</span>","<span style=""color:inherit"">Caja de cartón plegable y fácil de montar, ideal para almacenar ropa, juguetes y otros artículos en el hogar.</span>","","","","","","","caja-de-cartón-plegable-para-almacenamiento","1720579889160","1720580235119","inventory","True","True","False","False","False","False","5382429000000100277","71pTOt-ZNDL._AC_UF894,1000_QL80_.jpg","Caja de Cartón Plegable para Almacenamiento","False","False","71pTOt-ZNDL._AC_UF894,1000_QL80_.jpg","1","desktop","5382429000000100277","60083","Desktop","","jpg","58.7 KB","","Caja de Cartón Plegable para Almacenamiento","","active","4.990000","4.990000","False","","False","1","1998.000000","False","5382429000000100139","Caja de Cartón Plegable para Almacenamiento","1","active","4.990000","0.000000","CP5005","567890123456","5678901234567","","goods","False","False","71pTOt-ZNDL._AC_UF894,1000_QL80_.jpg","1","desktop","5382429000000100277","60083","Desktop","","jpg","58.7 KB","","Caja de Cartón Plegable para Almacenamiento","","UVW-CP-5005","22.000000","","","1999.000000","","","","","","","","","","","","","","","","","","","","1997.000000","1998.000000","1998.000000","1997.000000","inventory","4.990000","","","","","","","","",""
"","","5382429000000089566","caja numero","goods","","","","","False","False","","_Esta es una caja de pruebass","","","","","","","","caja-numero","1720311888745","1720311888823","inventory","True","True","False","False","False","False","","","","","","","","","","","","","","","","","","active","0.500000","0.500000","False","","False","1","199.000000","False","5382429000000089562","caja numero","1","active","0.500000","0.000000","","","","","goods","","","","","","","","","","","","","","","","25.000000","","","200.000000","","","","","","","","","","","","","","","","","","","","199.000000","199.000000","199.000000","199.000000","inventory","0.500000","","","","","","","","",""
"","","5382429000000100171","Cartón para Archivo","goods","","","","","False","False","","<span style=""color:inherit"">Caja de cartón resistente diseñada para archivar documentos importantes y mantenerlos organizados.</span>","<span style=""color:inherit"">Caja de cartón resistente diseñada para archivar documentos importantes y mantenerlos organizados.</span>","","","","","","","cartón-para-archivo","1720579991772","1720580201003","inventory","True","True","False","False","False","False","5382429000000100257","cartonsa-cajas-para-archivo-cajas-de-archivo-x300.webp","Cartón para Archivo","False","False","cartonsa-cajas-para-archivo-cajas-de-archivo-x300.webp","1","desktop","5382429000000100257","29082","Desktop","","webp","28.4 KB","","Cartón para Archivo","","active","3.990000","3.990000","False","","False","1","299.000000","False","5382429000000100173","Cartón para Archivo","1","active","3.990000","0.000000","CA6006","678901234567","6789012345678","","goods","False","False","cartonsa-cajas-para-archivo-cajas-de-archivo-x300.webp","1","desktop","5382429000000100257","29082","Desktop","","webp","28.4 KB","","Cartón para Archivo","","XYZ-CA-6006","10.000000","","","300.000000","","","","","","","","","","","","","","","","","","","","249.000000","299.000000","299.000000","249.000000","inventory","3.990000","","","","","","","","",""
"","","5382429000000100527","Cartón para Empaque de Pasteles","goods","","","","","False","False","","<span style=""color:inherit"">Cajas de cartón especialmente diseñadas para empacar y transportar pasteles y otros productos de repostería.</span>","<span style=""color:inherit"">Cajas de cartón especialmente diseñadas para empacar y transportar pasteles y otros productos de repostería.</span>","","","","","","","cartón-para-empaque-de-pasteles","1720581113900","1720581116947","inventory","True","True","False","False","False","False","5382429000000100565","cajas-pastel-13.jpg","Cartón para Empaque de Pasteles","False","False","cajas-pastel-13.jpg","1","desktop","5382429000000100565","187394","Desktop","","jpg","183 KB","","Cartón para Empaque de Pasteles","","active","2.490000","2.490000","False","","False","1","900.000000","False","5382429000000100529","Cartón para Empaque de Pasteles","1","active","2.490000","0.000000","CP11011","123456789012","1234567890123","","goods","False","False","cajas-pastel-13.jpg","1","desktop","5382429000000100565","187394","Desktop","","jpg","183 KB","","Cartón para Empaque de Pasteles","","ABC-CP-11011","230.000000","","","900.000000","","","","","","","","","","","","","","","","","","","","900.000000","900.000000","900.000000","900.000000","inventory","2.490000","","","","","","","","",""
"","","5382429000000100479","Cartón para Envío de Libros","goods","","","","","False","False","","<span style=""color:inherit"">Sobres de cartón acolchados diseñados para el envío seguro de libros y otros artículos frágiles.</span>","<span style=""color:inherit"">Sobres de cartón acolchados diseñados para el envío seguro de libros y otros artículos frágiles.</span>","","","","","","","cartón-para-envío-de-libros","1720580974732","1720580976240","inventory","True","True","False","False","False","False","5382429000000100517","protección-libros-rajapack.jpg","Cartón para Envío de Libros","False","False","protección-libros-rajapack.jpg","1","desktop","5382429000000100517","80575","Desktop","","jpg","78.7 KB","","Cartón para Envío de Libros","","active","1.790000","1.790000","False","","False","1","350.000000","False","5382429000000100481","Cartón para Envío de Libros","1","active","1.790000","0.000000","CL10010","012345678901","0123456789012","","goods","False","False","protección-libros-rajapack.jpg","1","desktop","5382429000000100517","80575","Desktop","","jpg","78.7 KB","","Cartón para Envío de Libros","","UVW-CL-10010","2.000000","","","350.000000","","","","","","","","","","","","","","","","","","","","350.000000","350.000000","350.000000","350.000000","inventory","1.790000","","","","","","","","",""
"","","5382429000000100069","Cartón para Mudanza","goods","","","","","False","False","","<span style=""color:inherit"">Caja de cartón resistente diseñada para mudanzas, con asas para facilitar el transporte.</span>","<span style=""color:inherit"">Caja de cartón resistente diseñada para mudanzas, con asas para facilitar el transporte.</span>","","","","","","","cartón-para-mudanza","1720579691070","1720580300380","inventory","True","True","False","False","False","False","5382429000000100317","web1_10392103_01.jpg","Cartón para Mudanza","False","False","web1_10392103_01.jpg","1","desktop","5382429000000100317","52473","Desktop","","jpg","51.2 KB","","Cartón para Mudanza","","active","7.990000","7.990000","False","","False","1","499.000000","False","5382429000000100071","Cartón para Mudanza","1","active","7.990000","0.000000","CM3003","345678901234","3456789012345","","goods","False","False","web1_10392103_01.jpg","1","desktop","5382429000000100317","52473","Desktop","","jpg","51.2 KB","","Cartón para Mudanza","","DEF-CM-3003","23.000000","","","500.000000","","","","","","","","","","","","","","","","","","","","499.000000","499.000000","499.000000","499.000000","inventory","7.990000","","","","","","","","",""
